objectid,park_name,court_number,comments,data_source,lat,lng
538,Joseph E Mander Playground,10, ,Nearmap 2023,39.99098569080332,-75.18831767962784
539,William H (Billy) Markward Memorial Playground,1, ,Nearmap 2023,39.94805835199766,-75.18280693660867
540,Awbury Park and Recreation Center,8, ,Nearmap 2024,40.052845071865534,-75.16376441346316
541,Parkside Evans Recreation Center,5, ,Nearmap 2023,39.983967547890195,-75.22637164172195
542,Chamounix Tennis Courts,6, ,Nearmap 2023,39.99930626112559,-75.20141950571053
543,Franklin Delano Roosevelt Park,13,Pickleball Court,Nearmap 2023,39.89843716925085,-75.18514185859378
544,William H (Billy) Markward Memorial Playground,0,Quickstart tennis court,Nearmap 2023,39.948399742866116,-75.18316094859848
545,11th and Cecil B Moore Playground,2, ,Nearmap 2023,39.97903389361437,-75.15092369119463
546,Allens Lane Art Center,0, ,Nearmap 2023,40.05151615283572,-75.20275674398864
547,Allens Lane Art Center,0, ,Nearmap 2023,40.05171265243134,-75.20286724569208
548,Allens Lane Art Center,0, ,Nearmap 2023,40.05143325419709,-75.20316808738069
549,Awbury Park and Recreation Center,7, ,Nearmap 2023,40.052745760415206,-75.16385350915425
550,Awbury Park and Recreation Center,9, ,Nearmap 2024,40.05294001997485,-75.16366152438947
551,Awbury Park and Recreation Center,10, ,Nearmap 2023,40.053035023824336,-75.1635611150265
552,Awbury Park and Recreation Center,6, ,Nearmap 2023,40.05259733219375,-75.1640269925702
553,Awbury Park and Recreation Center,5, ,Nearmap 2023,40.05250040121624,-75.164126544304
554,Awbury Park and Recreation Center,4, ,Nearmap 2023,40.05239902137,-75.16422967717328
555,Awbury Park and Recreation Center,3,,Nearmap 2023,40.05334292838032,-75.1647852892242
556,Awbury Park and Recreation Center,2,,Nearmap 2023,40.05321914069873,-75.16492029755823
557,Awbury Park and Recreation Center,1,,Nearmap 2023,40.05309328059911,-75.16504794031489
558,CCA Baldi School Playground,2, ,Nearmap 2023,40.09166610982595,-75.0510967993431
559,John L Barrett Playground,3, ,Nearmap 2023,40.029626670653464,-75.13608173418454
560,John L Barrett Playground,1, ,Nearmap 2023,40.02958168425047,-75.13573924110474
561,Commodore John Barry Playground,2, ,Nearmap 2023,39.91608156040775,-75.17846990790464
562,Commodore John Barry Playground,6, ,Nearmap 2023,39.91623074022205,-75.17864816286995
563,Commodore John Barry Playground,5, ,Nearmap 2023,39.916136915243314,-75.17867400221884
564,Daniel Boyle Memorial Recreation Center,1,Courts Lit. Pickleball Court Added,GIS Field Inspection 2024,40.12244201662327,-75.00709232914791
565,Bridesburg Recreation Center,1, ,Nearmap 2023,39.99946310324728,-75.06860393755085
566,Chamounix Tennis Courts,5, ,Nearmap 2023,39.999544961748995,-75.20113281368846
567,Chamounix Tennis Courts,4, ,Nearmap 2023,39.99979341002441,-75.20085567309854
568,Chamounix Tennis Courts,3, ,Nearmap 2023,40.00004521115972,-75.20060072249298
569,Chamounix Tennis Courts,2, ,Nearmap 2023,40.00030776671869,-75.20035776464543
570,Chamounix Tennis Courts,1, ,Nearmap 2023,40.00057405088019,-75.20011094519057
571,Chamounix Tennis Courts,7, ,Nearmap 2023,39.99900437624067,-75.20182387448139
572,Chamounix Tennis Courts,8, ,Nearmap 2023,39.99879102359106,-75.20213564765993
573,Chamounix Tennis Courts,9, ,Nearmap 2023,39.998581893255135,-75.20246585829253
574,Chamounix Tennis Courts,10, ,Nearmap 2023,39.998391900113496,-75.20279906851138
575,Chamounix Tennis Courts,11, ,Nearmap 2023,39.998205094131684,-75.20314703548684
576,Chamounix Tennis Courts,12, ,Nearmap 2023,39.998035684270064,-75.20350550672244
577,A Albert Cherashore Playground,1, ,2024 October Site Visits,40.037870837027846,-75.1370731471924
578,Albert W Christy Sr Recreation Center,1, ,Nearmap 2023,39.9488973727294,-75.23507985225841
579,Disston Park,3, ,Nearmap 2023,40.01875850028584,-75.0485431568314
